date,hour,lat,lon,cape,cin,hlcy,t2m,d2m,lcl,shear,tornado
20240106,22,26.1076,-80.1297,580.0,-3.870819091796875,72.14999389648438,296.22669982910156,295.40000915527344,103.33633422851562,18.38929536076751,1
20240108,21,29.85,-90.99,480.0,-70.3504638671875,255.14312744140625,291.2559509277344,290.9209289550781,41.87774658203125,32.82816679134388,1
20240109,14,30.1417,-85.5907,770.0,-0.496826171875,385.7332229614258,293.5736999511719,292.95741271972656,77.03590393066406,33.06993171768438,1
20240115,21,27.1272,-80.353,1620.0,-1.169647216796875,108.28085327148438,295.97723388671875,295.20770263671875,96.19140625,23.161579725448384,1
20240127,20,34.1614,-80.859,720.0,-4.23974609375,115.85443496704102,293.2337951660156,292.06378173828125,146.25167846679688,18.950609756856316,1
20240204,18,30.4776,-83.9058,350.0,0.177459716796875,86.96269226074219,288.7168884277344,288.21241760253906,63.05885314941406,7.7186910700414995,1
20240208,22,41.07,-89.36,580.0,-19.3515625,276.5732421875,287.43304443359375,283.17388916015625,532.3944091796875,30.765127473121982,1
20240218,18,24.655,-81.476,960.0,-0.17071533203125,92.40786743164062,296.5625305175781,295.92633056640625,79.52499389648438,19.916107209723155,1
20240228,21,42.22,-75.95,0.0,-0.42657470703125,88.41777801513672,284.9516296386719,283.16375732421875,223.48403930664062,35.21171025933585,1
20240305,19,45.87,-118.42,50.0,-0.0069580078125,15.039642333984375,275.67311096191406,271.4859924316406,523.3898162841797,22.383979346591634,1
20240309,15,30.611,-84.0518,850.0,-0.7261962890625,135.12222290039062,295.0860137939453,294.4016418457031,85.54649353027344,26.82878462875998,1
20240314,17,38.7359,-85.4744,840.0,-20.2139892578125,117.46295166015625,292.80438232421875,289.1302490234375,459.26666259765625,25.788214877231308,1
20240324,19,36.3312,100.8071,0.0,-3.8730621337890625,9.978302001953125,272.57032775878906,269.24786376953125,415.30799865722656,15.614042204036926,1
20240402,14,38.5713,-82.839,150.0,-65.2474365234375,170.81895446777344,291.07965087890625,289.8475799560547,154.0088653564453,27.321694397584448,1
